target,metric_key,metric_label,value,unit
UpdCont,raw_output_update_controller_states,Raw output update controller states,55231,states
UpdCont,raw_output_update_controller_transitions,Raw output update controller transitions,212524,transitions
UpdCont,minimized_output_update_controller_states,Minimized output update controller states,21240,states
UpdCont,minimized_output_update_controller_transitions,Minimized output update controller transitions,89196,transitions
UpdCont,minimized_output_update_controller_count_time,Minimized output update controller count time,1,ms
UpdCont,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,62783,ms
