target,metric_key,metric_label,value,unit
Stepwise_UpdCont_T2,raw_output_update_controller_states,Raw output update controller states,142963,states
Stepwise_UpdCont_T2,raw_output_update_controller_transitions,Raw output update controller transitions,567343,transitions
Stepwise_UpdCont_T2,minimized_output_update_controller_states,Minimized output update controller states,50506,states
Stepwise_UpdCont_T2,minimized_output_update_controller_transitions,Minimized output update controller transitions,211212,transitions
Stepwise_UpdCont_T2,minimized_output_update_controller_count_time,Minimized output update controller count time,4,ms
Stepwise_UpdCont_T2,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,462726,ms
