target,metric_key,metric_label,value,unit
Stepwise_UpdCont,raw_output_update_controller_states,Raw output update controller states,157533,states
Stepwise_UpdCont,raw_output_update_controller_transitions,Raw output update controller transitions,633680,transitions
Stepwise_UpdCont,minimized_output_update_controller_states,Minimized output update controller states,62720,states
Stepwise_UpdCont,minimized_output_update_controller_transitions,Minimized output update controller transitions,270850,transitions
Stepwise_UpdCont,minimized_output_update_controller_count_time,Minimized output update controller count time,5,ms
Stepwise_UpdCont,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,606817,ms
