target,metric_key,metric_label,value,unit
UpdCont_T1,raw_output_update_controller_states,Raw output update controller states,617,states
UpdCont_T1,raw_output_update_controller_transitions,Raw output update controller transitions,1358,transitions
UpdCont_T1,minimized_output_update_controller_states,Minimized output update controller states,144,states
UpdCont_T1,minimized_output_update_controller_transitions,Minimized output update controller transitions,336,transitions
UpdCont_T1,minimized_output_update_controller_count_time,Minimized output update controller count time,0,ms
UpdCont_T1,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,16,ms
