target,metric_key,metric_label,value,unit
UpdCont,raw_output_update_controller_states,Raw output update controller states,1745,states
UpdCont,raw_output_update_controller_transitions,Raw output update controller transitions,3752,transitions
UpdCont,minimized_output_update_controller_states,Minimized output update controller states,552,states
UpdCont,minimized_output_update_controller_transitions,Minimized output update controller transitions,1342,transitions
UpdCont,minimized_output_update_controller_count_time,Minimized output update controller count time,0,ms
UpdCont,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,70,ms
