target,metric_key,metric_label,value,unit
UpdCont_T2,raw_output_update_controller_states,Raw output update controller states,140215,states
UpdCont_T2,raw_output_update_controller_transitions,Raw output update controller transitions,555923,transitions
UpdCont_T2,minimized_output_update_controller_states,Minimized output update controller states,50506,states
UpdCont_T2,minimized_output_update_controller_transitions,Minimized output update controller transitions,211212,transitions
UpdCont_T2,minimized_output_update_controller_count_time,Minimized output update controller count time,3,ms
UpdCont_T2,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,425686,ms
