target,metric_key,metric_label,value,unit
Stepwise_UpdCont_T2,raw_output_update_controller_states,Raw output update controller states,51661,states
Stepwise_UpdCont_T2,raw_output_update_controller_transitions,Raw output update controller transitions,196657,transitions
Stepwise_UpdCont_T2,minimized_output_update_controller_states,Minimized output update controller states,17258,states
Stepwise_UpdCont_T2,minimized_output_update_controller_transitions,Minimized output update controller transitions,70414,transitions
Stepwise_UpdCont_T2,minimized_output_update_controller_count_time,Minimized output update controller count time,0,ms
Stepwise_UpdCont_T2,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,52485,ms
