target,metric_key,metric_label,value,unit
Stepwise_UpdCont_T1,raw_output_update_controller_states,Raw output update controller states,56813,states
Stepwise_UpdCont_T1,raw_output_update_controller_transitions,Raw output update controller transitions,208102,transitions
Stepwise_UpdCont_T1,minimized_output_update_controller_states,Minimized output update controller states,19297,states
Stepwise_UpdCont_T1,minimized_output_update_controller_transitions,Minimized output update controller transitions,73471,transitions
Stepwise_UpdCont_T1,minimized_output_update_controller_count_time,Minimized output update controller count time,0,ms
Stepwise_UpdCont_T1,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,68198,ms
