target,metric_key,metric_label,value,unit
Stepwise_UpdCont,raw_output_update_controller_states,Raw output update controller states,4235,states
Stepwise_UpdCont,raw_output_update_controller_transitions,Raw output update controller transitions,14449,transitions
Stepwise_UpdCont,minimized_output_update_controller_states,Minimized output update controller states,1507,states
Stepwise_UpdCont,minimized_output_update_controller_transitions,Minimized output update controller transitions,5340,transitions
Stepwise_UpdCont,minimized_output_update_controller_count_time,Minimized output update controller count time,0,ms
Stepwise_UpdCont,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,351,ms
