target,metric_key,metric_label,value,unit
UpdCont,raw_output_update_controller_states,Raw output update controller states,154785,states
UpdCont,raw_output_update_controller_transitions,Raw output update controller transitions,622260,transitions
UpdCont,minimized_output_update_controller_states,Minimized output update controller states,62720,states
UpdCont,minimized_output_update_controller_transitions,Minimized output update controller transitions,270850,transitions
UpdCont,minimized_output_update_controller_count_time,Minimized output update controller count time,4,ms
UpdCont,minimized_output_update_controller_minimize_time,Minimized output update controller minimize time,527343,ms
