mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_0_states,New Environment Component[0] E1_new / States,2,states,,2026-08-01-memory-v2,states.states.md_c7d2936f8fb47ce8,入力規模 / New Environment Component,状態数,状態数,,,,,状態数
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_0_transitions,New Environment Component[0] E1_new / Transitions,12,transitions,,2026-08-01-memory-v2,transitions.transitions.md_233a0064f3dad19a,入力規模 / New Environment Component,遷移数,遷移数,,,,,遷移数
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_0_count_time,New Environment Component[0] E1_new / CountTime,0,ms,,2026-08-01-memory-v2,time.count_time.md_1f0481976617f367,入力規模 / New Environment Component,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_1_states,New Environment Component[1] E2_new / States,2,states,,2026-08-01-memory-v2,states.states.md_d56d69e9c45defbb,入力規模 / New Environment Component,状態数,状態数,,,,,状態数
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_1_transitions,New Environment Component[1] E2_new / Transitions,4,transitions,,2026-08-01-memory-v2,transitions.transitions.md_010377d4c38f4987,入力規模 / New Environment Component,遷移数,遷移数,,,,,遷移数
Traditional DUC,SUCCESS,,入力規模 / New Environment Component,input_new_env_component_1_count_time,New Environment Component[1] E2_new / CountTime,0,ms,,2026-08-01-memory-v2,time.count_time.md_7d0ce98c84b590ed,入力規模 / New Environment Component,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_0_states,Mapping Environment Component[0] MAP_E1_old_E1_new / States,4,states,,2026-08-01-memory-v2,states.states.md_39e80ab5aaa3fb96,入力規模 / Mapping Environment Component,状態数,状態数,,,,,状態数
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_0_transitions,Mapping Environment Component[0] MAP_E1_old_E1_new / Transitions,26,transitions,,2026-08-01-memory-v2,transitions.transitions.md_80827fa6cca7038f,入力規模 / Mapping Environment Component,遷移数,遷移数,,,,,遷移数
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_0_count_time,Mapping Environment Component[0] MAP_E1_old_E1_new / CountTime,0,ms,,2026-08-01-memory-v2,time.count_time.md_08f1d046e54fb874,入力規模 / Mapping Environment Component,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_1_states,Mapping Environment Component[1] MAP_E2_old_E2_new / States,4,states,,2026-08-01-memory-v2,states.states.md_4654a34be6e6d8e5,入力規模 / Mapping Environment Component,状態数,状態数,,,,,状態数
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_1_transitions,Mapping Environment Component[1] MAP_E2_old_E2_new / Transitions,8,transitions,,2026-08-01-memory-v2,transitions.transitions.md_ab935aabc516de76,入力規模 / Mapping Environment Component,遷移数,遷移数,,,,,遷移数
Traditional DUC,SUCCESS,,入力規模 / Mapping Environment Component,input_mapping_component_1_count_time,Mapping Environment Component[1] MAP_E2_old_E2_new / CountTime,0,ms,,2026-08-01-memory-v2,time.count_time.md_a2a29255e1567888,入力規模 / Mapping Environment Component,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,入力規模,input_old_safety,old safety 数,3,個,,2026-08-01-memory-v2,metric.value.md_4c78d0540fcec27a,入力規模,個,その他,,,,,個
Traditional DUC,SUCCESS,,入力規模,input_new_safety,new safety 数,3,個,,2026-08-01-memory-v2,metric.value.md_01809d17ff6670e0,入力規模,個,その他,,,,,個
Traditional DUC,SUCCESS,,入力規模,input_transition_requirements,transition requirement 数,0,個,,2026-08-01-memory-v2,transitions.value.md_2ee0b03a697a8b23,入力規模,個,遷移数,,,,,個
Traditional DUC,SUCCESS,,入力規模,input_controllable_actions,controllable action 数,15,個,,2026-08-01-memory-v2,metric.value.md_1c1d235a90451f0a,入力規模,個,その他,,,,,個
Traditional DUC,SUCCESS,,入力規模 / 事前合成,old_controller_states,Old Controller / States,3,states,,2026-08-01-memory-v2,states.states.md_94bbbe1abf72f850,入力規模: 事前合成されたコントローラ,旧コントローラ / 状態数,状態数,旧コントローラ,,,,状態数
Traditional DUC,SUCCESS,,入力規模 / 事前合成,old_controller_transitions,Old Controller / Transitions,13,transitions,,2026-08-01-memory-v2,transitions.transitions.md_a19e4dccd8ad22b7,入力規模: 事前合成されたコントローラ,旧コントローラ / 遷移数,遷移数,旧コントローラ,,,,遷移数
Traditional DUC,SUCCESS,,入力規模 / 事前合成,old_controller_count_time,Old Controller / CountTime,15,ms,,2026-08-01-memory-v2,time.count_time.md_c5a518d0ceee70d2,入力規模: 事前合成されたコントローラ,旧コントローラ / 評価用カウント時間,時間,旧コントローラ,,,,評価用カウント時間
Traditional DUC,SUCCESS,,入力規模,input_total_actions,全 action 数（controllable + uncontrollable）,33,個,,2026-08-01-memory-v2,metric.value.md_ebb4a24727c3be22,入力規模,個,その他,,,,,個
Traditional DUC,SUCCESS,,入力規模,input_uncontrollable_actions,uncontrollable action 数,18,個,,2026-08-01-memory-v2,metric.value.md_ff9e9dfe8c3725b6,入力規模,個,その他,,,,,個
Traditional DUC,SUCCESS,,UpdatingControllersDefinition,input_scale_summary_time,入力規模集計時間,35,ms,,2026-08-01-memory-v2,time.time.md_abe0a03251ef2df1,入力準備: 更新コントローラ定義の構築,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,メモリ使用量チェックポイント,auto_e1170e2d_current_heap,UpdatingControllersDefinition compose 後 / 現在ヒープ,11506264,B,,2026-08-01-memory-v2,memory.b.md_e1b2cd610640c1ee,メモリ使用量,B,メモリ,,,,,B
Traditional DUC,SUCCESS,,メモリ使用量チェックポイント,auto_e1170e2d_peak_heap,UpdatingControllersDefinition compose 後 / 旧pool別peak合計,21996672,B,各heap MemoryPoolMXBeanが別々の時刻に記録したpeak usedの合計。,2026-08-01-memory-v2,memory.b.md_4d44e9fe3d658e9e,メモリ使用量,B,メモリ,,,,,B
Traditional DUC,SUCCESS,,メモリ使用量チェックポイント,auto_e1170e2d_delta_from_start,UpdatingControllersDefinition compose 後 / 開始時からの増減,8103856,B,,2026-08-01-memory-v2,memory.b.md_52066e384aa2d4c8,メモリ使用量,B,メモリ,,,,,B
Traditional DUC,SUCCESS,,メモリ使用量チェックポイント,auto_e1170e2d_delta_from_previous,UpdatingControllersDefinition compose 後 / 直前からの増減,0,B,,2026-08-01-memory-v2,memory.b.md_4ae46debd56a26fc,メモリ使用量,B,メモリ,,,,,B
Traditional DUC,SUCCESS,,UpdatingControllersDefinition,new_controller_synthesis_time,New Controller 合成時間,0,ms,,2026-08-01-memory-v2,time.time.md_d3dc05dc441758e7,入力準備: 更新コントローラ定義の構築,新コントローラ / 時間,時間,新コントローラ,,,,時間
Traditional DUC,SUCCESS,,UpdatingControllersDefinition,auto_3b032819,Old Safety の tester 変換時間,0,ms,,2026-08-01-memory-v2,time.time.md_351c3b6160ec6d72,入力準備: 更新コントローラ定義の構築,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,UpdatingControllersDefinition,auto_33934240,New Safety の tester 変換時間,0,ms,,2026-08-01-memory-v2,time.time.md_52c436ed9089e110,入力準備: 更新コントローラ定義の構築,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,UpdatingControllersDefinition,auto_a60cfe26,Transition Requirement の tester 変換時間,0,ms,,2026-08-01-memory-v2,time.time.md_2a7b46f46c8b3008,入力準備: 更新コントローラ定義の構築,時間,時間,,,,,時間
